CharityRegNo,amount,count,ICNPO,income,CC Rank
803716,29667001,867,3400,293534000.0,185
1077265,39427012,837,3400,600100000.0,82
205533,38057411,609,3100,4835600000.0,3
284880,26465000,399,6200,164287246.0,381
1090790,10309171,255,6100,63517341.0,1159
514829,8329605,158,3300,80733083.0,895
264713,15586855,151,4100,159965000.0,388
1037116,21374591,146,2410,55061439.0,1345
220949,9047624,134,4100,1544800000.0,17
297370,12074948,119,3400,41209886.0,1745
