CharityRegNo,amount,count,ICNPO,income,CC Rank
1104951,730926246,834,3300,1369600000.0,26
205533,326497083,3021,3100,4835600000.0,3
1127049,110947036,224,3400,149968584.0,427
1014851,78283672,17,3200,105345000.0,652
292880,61326856,348,4100,176846091.0,350
205907,58243969,140,3100,219110000.0,256
207994,55679994,600,3400,1091030000.0,33
1001701,51499364,461,7200,137168240.0,480
1046624,50120084,448,3400,192440197.0,304
265543,43334457,1117,3400,1603164000.0,16
