CharityRegNo,amount,count,ICNPO,income,CC Rank
1077265,39427012,837,3400,600100000.0,82
205533,38057411,609,3100,4835600000.0,3
803716,29667001,867,3400,293534000.0,185
284880,26465000,399,6200,164287246.0,381
1037116,21374591,146,2410,55061439.0,1345
216250,15669569,58,4100,2060677000.0,14
264713,15586855,151,4100,159965000.0,388
1081182,12558058,29,4100,103812731.0,665
297370,12074948,119,3400,41209886.0,1745
1090790,10309171,255,6100,63517341.0,1159
