,PDF,Excel,CSV,Total,PDF,Excel,CSV,Total,PDF,Excel,CSV,Total,PDF,Excel,CSV,Total
Files,687,3756,3307,7750,270,3407,4912,8589,0,67,1,68,955,7213,8148,16316
Rows,50591,327255,269323,646938,21461,295667,344209,661226,0,565206,36555,601761,72052,1188128,650087,1909925
Value (£m),16363.975863,100255.578688,87578.604423,204110.994238,3287.002948,38493.0373234,45159.455475,86931.7046654,0.0,147991.281242,6829.203527,154820.484769,19650.978811,286739.8972534,139567.263425,445863.1836724
Mean (£k),323.45626421695556,306.35308456096925,325.1805617158579,315.5031768701174,153.1616862215181,130.19050933448776,131.19777656888695,131.47048764779368,,261.8360053538002,186.8199569689509,257.27902733643424,272.73328722311663,241.33754717791362,214.69013135934114,233.4453885217486
Suppliers,2165,4933,3982,7973,1380,6883,7631,11203,0,5732,3718,5734,3300,13885,12681,19122
